freq,unit,sector,cofog99,na_item,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_EUR,S13,GF0103,TE,AT	4240.4 	4347.2 	4521.7 	4657.4 	5230.0 	5509.9 	5963.1 
A,MIO_EUR,S13,GF0103,TE,BE	4227.2 	4371.4 	4966.2 	5275.0 	5541.9 	5968.3 	6315.0 
A,MIO_EUR,S13,GF0103,TE,BG	21.2 	23.9 	25.6 	25.9 	32.0 	39.0 	53.9 
A,MIO_EUR,S13,GF0103,TE,CH	8106.1 	7874.8 	8650.7 	8265.2 	7985.7 	8697.5 	9003.9 
A,MIO_EUR,S13,GF0103,TE,CY	253.1 	257.0 	240.4 	249.2 	264.5 	296.2 	267.1 
A,MIO_EUR,S13,GF0103,TE,CZ	179.6 	191.7 	202.3 	224.3 	230.4 	216.5 	237.4 
A,MIO_EUR,S13,GF0103,TE,DE	32716.0 	34665.0 	37228.0 	40569.0 	45414.0 p	47300.0 p	49136.0 p
A,MIO_EUR,S13,GF0103,TE,DK	1091.7 	1313.7 	1095.1 	1323.7 	1172.0 	1409.3 	1490.1 
A,MIO_EUR,S13,GF0103,TE,EA19	128080.9 	129547.3 	134084.0 	141300.5 	148698.3 	152633.7 	159760.1 
A,MIO_EUR,S13,GF0103,TE,EA20	128241.4 	129731.6 	134279.0 	141470.1 	148887.9 	152813.1 	159944.5 
A,MIO_EUR,S13,GF0103,TE,EE	151.3 	194.8 	227.0 	242.0 	201.1 	236.2 	251.9 
A,MIO_EUR,S13,GF0103,TE,EL	7179.0 	5541.0 	5184.0 	4568.0 	4710.0 	4533.0 	4652.0 
A,MIO_EUR,S13,GF0103,TE,ES	11085.0 	11034.0 	11375.0 	11764.0 	12348.0 	12922.0 	13881.0 p
A,MIO_EUR,S13,GF0103,TE,EU27_2020	141634.8 	144153.4 	149641.1 	157394.1 	164832.6 	169455.1 	177463.1 
A,MIO_EUR,S13,GF0103,TE,FI	8965.0 b	8797.0 	9402.0 	10194.0 	10611.0 	11174.0 	11601.0 
A,MIO_EUR,S13,GF0103,TE,FR	39898.0 	40793.0 	41485.0 	42146.0 	43294.0 	43539.0 p	45756.0 p
A,MIO_EUR,S13,GF0103,TE,HR	160.5 	184.3 	195.0 	169.6 	189.6 	179.3 	184.4 
A,MIO_EUR,S13,GF0103,TE,HU	1056.0 	945.6 	1480.7 	1672.3 	1961.4 	1815.6 	2063.9 
A,MIO_EUR,S13,GF0103,TE,IE	544.1 	489.6 	500.3 	578.2 	600.7 	594.6 	604.6 
A,MIO_EUR,S13,GF0103,TE,IS	171.0 	213.3 	228.6 	256.8 	242.6 	239.0 	334.9 
A,MIO_EUR,S13,GF0103,TE,IT	14223.0 	14114.0 	13786.0 	15725.0 	14990.0 	15018.0 	15539.0 
A,MIO_EUR,S13,GF0103,TE,LT	174.2 	179.5 	183.0 	208.2 	236.0 	244.7 	288.2 
